Protein Names,Gene Names,Majority Protein IDs,LFQ Intensity [log10],Sequence Coverage [%],Number of Peptides,FDA-approved Biomarker,Act in Plasma ,Tissue Leakage ,Receptor Ligands,Concentration according to Plasma Proteome Database [log10(pg/ml)],Q-value
60S ribosomal protein L6,RPL6,Q02878;F8W181;F8VZ45,8.02,10.1,3,,,,,NaN,0.000
60S ribosomal protein L7,RPL7,P18124;A8MUD9,7.54,12.1,2,,,,,NaN,0.000
60S ribosomal protein L7a,RPL7A,P62424;Q5T8U3,6.05,4.1,1,,,,,3.54,0.009
60S ribosomal protein L8,RPL8,P62917;E9PKZ0;E9PIZ3;E9PP36;G3V1A1;E9PKU4,7.64,13.2,3,,,,,NaN,0.000
"6-phosphogluconate dehydrogenase, decarboxylating",PGD,P52209;F5H7U0;B4DQJ8;F5H0L3;B4DV68,7.13,10.4,3,,,,,4.46,0.000
72 kDa type IV collagenase;PEX,MMP2,P08253;B4DWH3;E9PE45;H3BR66;H3BS34,7.63,3.6,2,,,,,5.40,0.000
78 kDa glucose-regulated protein,HSPA5,P11021,9.03,37.9,23,,,,,5.00,0.000
7SK snRNA methylphosphate capping enzyme,MEPCE,Q7L2J0;D6W5V7,6.93,1.6,1,,,,,NaN,0.006
A disintegrin and metalloproteinase with thrombospondin motifs 13,ADAMTS13,Q76LX8;Q76LX8-2;Q76LX8-3,8.39,7.8,11,,,,,3.08,0.000
Acid sphingomyelinase-like phosphodiesterase 3a,SMPDL3A,Q92484;B7Z729,6.76,1.5,1,,,,,NaN,0.000
"Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1",ACTA1;ACTC1;ACTB,P68133;P68032;Q5T8M8;A6NL76;E7EQV5;C9JUM1,8.50,31.3,12,,,,,5.88,0.000
"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed",ACTB,P60709;B4E335;B4DW52;F5GYT4,9.82,50.1,17,,,,,NaN,0.000
"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",ACTG1,P63261;F5H0N0;I3L3I4;I3L3I0;I3L1U9;I3L4N8,NaN,45.6,16,,,,,5.88,0.007
"Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle",ACTG2;ACTA2;ACTA1,P63267;P62736;Q5T8M7;F5H1C1;B4DUI8;C9JFL5;F6UVQ4;F6QUT6;E9PG30;F8WB63;B8ZZJ2,NaN,28.5,11,,,,,NaN,0.000
Actin-related protein 3;Actin-related protein 3B,ACTR3;ACTR3B,P61158;F5H3P5;B4DXW1;Q9P1U1;B4DTI0;Q9P1U1-2,7.01,4.3,2,,,,,4.58,0.000
Acyl-CoA-binding domain-containing protein 5,ACBD5,Q5T8D3;Q5T8D3-3;B7Z2A7;H7BYB2;Q5T8D3-4;Q5T8D3-2,7.79,2.1,1,,,,,NaN,0.000
ADAMTS-like protein 4,ADAMTSL4,Q6UY14;Q6UY14-2;F8WAD0,6.66,2.4,3,,,,,NaN,0.000
Adenine phosphoribosyltransferase,APRT,P07741;H3BQF1;H3BQB1;G5E9J2,7.05,5.6,1,,,,,NaN,0.009
Adenosine deaminase CECR1,CECR1,Q9NZK5;B4E3Q4;Q9NZK5-2,7.74,7.2,3,,,,,3.89,0.000
Adenosine kinase,ADK,P55263;P55263-3;P55263-2;B7Z800,7.73,6.4,3,,,,,NaN,0.000
Adenosylhomocysteinase,AHCY,P23526;F5H737,7.22,12.0,4,,,,,NaN,0.000
Adenylyl cyclase-associated protein 1;Adenylyl cyclase-associated protein,CAP1,Q01518;F5H6Z3;Q01518-2;Q5T0R7;Q5T0R6;Q5T0R5;Q5T0R4;Q5T0R3;Q5T0R2;Q5T0R1;Q5T0R9,7.17,2.7,1,,,,,4.43,0.000
Adipocyte plasma membrane-associated protein,APMAP,Q9HDC9;H0Y512;Q9HDC9-2,8.73,22.8,8,,,,,4.46,0.000
Adiponectin,ADIPOQ,Q15848,9.12,20.1,3,,,,,6.56,0.000
"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",SLC25A5,P05141,8.11,11.4,3,,,,,NaN,0.000
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,BST1,Q10588;A6NC48;H0Y984,7.36,2.5,1,,,,,4.30,0.000
ADP-ribosylation factor 3;ADP-ribosylation factor 1;ADP-ribosylation factor 5,ARF3;ARF1;ARF5,P61204;P84077;B7ZB63;F5H423;P84085;C9J1Z8,6.68,9.9,2,,,,,NaN,0.000
Afamin,AFM,P43652,10.28,26.2,15,,,,,8.12,0.000
Alanine aminotransferase 1,GPT,P24298,7.30,4.0,2,+,,+,,4.20,0.000
"Alanine--tRNA ligase, cytoplasmic",AARS,P49588;H3BPK7,6.71,2.2,2,,,,,NaN,0.000
Alcohol dehydrogenase 1B;Alcohol dehydrogenase 1A;Alcohol dehydrogenase 1C,ADH1B;ADH1A;ADH1C,P00325;P07327;F5HB16;A8MYN5;P00326;B7ZB36,7.46,6.1,2,,,,,4.87,0.000
Alcohol dehydrogenase 4,ADH4,P08319;P08319-2;D6R9K8,6.78,6.3,2,,,,,4.08,0.000
"Aldehyde dehydrogenase X, mitochondrial",ALDH1B1,P30837;B4DLJ0,7.90,3.3,1,,,,,NaN,0.000
"Aldehyde dehydrogenase, mitochondrial",ALDH2,P05091;F8VXI5;F8VP50;F8W0A9;E7EUE5,6.96,6.6,3,,,,,3.32,0.000
"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",MGAT1,P26572;D6RA48;D6RBS3;D6RAK2;D6R9U2;D6RD15;D6RB69;D6RHZ8;D6RF69,6.40,4.9,2,,,,,NaN,0.000
Alpha-1-acid glycoprotein 1,ORM1,P02763,10.99,49.8,11,+,+,,,8.22,0.000
Alpha-1-acid glycoprotein 2,ORM2,P19652,10.17,42.8,11,+,+,,,8.62,0.000
Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less,SERPINA3;GAA,P01011;G3V5I3;G3V595,11.11,58.9,24,,,,,8.04,0.000
Alpha-1-antitrypsin;Short peptide from AAT,SERPINA1,P01009;P01009-2;P01009-3,11.79,69.1,33,+,+,,,8.39,0.000
Alpha-1B-glycoprotein,A1BG,P04217,10.68,40.2,14,,,,,7.96,0.000
Alpha-1B-glycoprotein,A1BG,P04217-2;B3KWB5,NaN,35.1,9,,,,,7.96,0.000
Alpha-2-antiplasmin,SERPINF2,P08697;P08697-2;C9JMH6,10.69,48.3,20,+,+,,,7.74,0.000
Alpha-2-HS-glycoprotein;Alpha-2-HS-glycoprotein chain A;Alpha-2-HS-glycoprotein chain B,AHSG,P02765;F5H0Q5;C9JV77,10.34,15.8,5,+,+,,,7.91,0.000
Alpha-2-macroglobulin,A2M,P01023;H0YGH4,11.92,64.9,88,+,+,,,9.03,0.000
Alpha-actinin-4,ACTN4,O43707;E7EV83;D6PXK4,8.14,4.2,4,,,,,5.08,0.000
Alpha-enolase,ENO1,P06733;P06733-2,9.21,42.9,16,,,,,4.74,0.000
Alpha-mannosidase 2,MAN2A1,Q16706,7.74,5.7,7,,,,,3.59,0.000
Alpha-mannosidase 2x,MAN2A2,P49641;P49641-1;H0YNG5;H0YLB9;P49641-2,7.86,2.1,2,,,,,NaN,0.000
Alpha-N-acetylglucosaminidase;Alpha-N-acetylglucosaminidase 82 kDa form;Alpha-N-acetylglucosaminidase 77 kDa form,NAGLU,P54802;H0Y3D8,7.50,7.3,3,,,,,3.15,0.000
Aminoacylase-1,ACY1,Q03154;F8WC59;C9JYZ0;C9J9D8;C9JWD4;C9J6I6,6.65,3.2,1,,,,,4.48,0.002
Aminopeptidase B,RNPEP,Q9H4A4;A6NKB8;C9JMZ3,NaN,2.3,1,,,,,NaN,0.000
Aminopeptidase N,ANPEP,P15144;B4DP96,8.85,13.8,12,,,,,4.56,0.000
Angiogenin,ANG,P03950,8.29,8.2,1,,,,,5.45,0.000
Angiopoietin-related protein 3,ANGPTL3,Q9Y5C1,7.91,9.6,4,,,,,4.08,0.000
Angiopoietin-related protein 6,ANGPTL6,Q8NI99,7.39,4.9,2,,,,,NaN,0.000
"Angiotensin-converting enzyme;Angiotensin-converting enzyme, soluble form",ACE,P12821;P12821-2;P12821-4;P12821-3,7.88,3.1,4,+,+,,,3.87,0.000
Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4,AGT,P01019;E7EUC5,10.30,29.7,11,,,,,7.36,0.000
Ankyrin repeat domain-containing protein 26,ANKRD26,Q9UPS8;E7ESJ3;Q9UPS8-3,7.04,0.6,1,,,,,3.86,0.009
Annexin A1;Annexin,ANXA1,P04083;Q5T3N1,7.79,13.3,4,,,,,3.79,0.000
Annexin A2;Annexin;Putative annexin A2-like protein,ANXA2;ANXA2P2,P07355;H0YN42;P07355-2;A6NMY6;H0YKS4;H0YMD0;H0YMU9;H0YMM1;H0YM50;H0YKZ7;H0YLV6;H0YMT9;H0YKX9,8.41,26.5,8,,,,,4.18,0.000
Annexin A7;Annexin,ANXA7,P20073;B4DT77;B4DHY4;P20073-2,7.72,3.3,1,,,,,NaN,0.000
Annexin;Annexin A5,ANXA5,D6RBL5;P08758;D6RBE9;E7ENQ5,7.70,17.7,5,,,,,3.90,0.000
Anthrax toxin receptor 1,ANTXR1,Q9H6X2;Q9H6X2-3;Q9H6X2-4;Q9H6X2-2,7.56,5.9,3,,,,,NaN,0.000
Anthrax toxin receptor 2,ANTXR2,P58335;P58335-4;P58335-2;P58335-3,8.06,6.5,3,,,,,NaN,0.000
Antithrombin-III,SERPINC1,P01008,11.10,48.9,29,+,+,,,7.97,0.000
Apolipoprotein A-I;Proapolipoprotein A-I;Truncated apolipoprotein A-I,APOA1,P02647;F8W696,11.98,87.3,38,+,+,,,9.00,0.000
Apolipoprotein A-II;Proapolipoprotein A-II;Truncated apolipoprotein A-II,APOA2,P02652,11.10,69.0,9,,,,,8.49,0.000
Apolipoprotein A-IV,APOA4,P06727,11.19,77.0,38,,,,,8.00,0.000
Apolipoprotein A-V,APOA5,Q6Q788;C9JZZ0,7.75,9.6,3,,,,,4.96,0.000
Apolipoprotein B-100;Apolipoprotein B-48,APOB,P04114;F5H109,11.83,63.4,255,+,+,,,8.48,0.000
Apolipoprotein C-I;Truncated apolipoprotein C-I,APOC1,P02654,10.31,37.3,6,,,,,7.18,0.000
Apolipoprotein C-II,APOC2,P02655,10.42,59.4,6,,,,,8.38,0.000
Apolipoprotein C-III,APOC3,P02656,10.62,56.6,5,,,,,7.76,0.000
Apolipoprotein C-IV,APOC4,P55056,8.86,16.5,2,,,,,9.36,0.000
Apolipoprotein D,APOD,C9JF17;P05090;C9JX71,10.48,42.8,8,,,,,7.91,0.000
Apolipoprotein E,APOE,P02649;H0Y7L5;E9PEV4;E7ERP7,10.61,76.7,26,,,,,7.22,0.000
Apolipoprotein F,APOF,Q13790;F5GXS5,8.54,11.7,3,,,,,7.04,0.000
Apolipoprotein L1,APOL1,O14791;O14791-2;E9PF24;G8JL88,10.23,40.5,18,,,,,6.08,0.000
Apolipoprotein M,APOM,O95445,9.90,44.1,6,,,,,6.18,0.000
Apolipoprotein M,APOM,Q5SRP5;Q5SRP4,NaN,27.1,4,,,,,6.18,0.000
Apolipoprotein(a),LPA,P08519,8.38,8.4,6,+,+,,,3.15,0.000
"Apoptosis-inducing factor 1, mitochondrial",AIFM1,O95831;Q1L6K4;O95831-4;O95831-3,6.91,4.9,2,,,,,3.15,0.002
"Arachidonate 12-lipoxygenase, 12R-type",ALOX12B,O75342,6.03,1.3,1,,,,,NaN,0.001
Argininosuccinate synthase,ASS1,P00966;Q5T6L5;Q5T6L6,7.71,8.5,4,,,,,3.30,0.000
"Aspartate aminotransferase, cytoplasmic;Aspartate aminotransferase",GOT1,P17174;B7Z1I2;B7Z7E9,7.37,2.7,1,+,,+,,4.75,0.000
"Aspartate aminotransferase, mitochondrial",GOT2,P00505;E7ERW2,7.72,7.9,2,,,,,4.04,0.000
"ATP synthase subunit alpha, mitochondrial",ATP5A1,P25705;A8K092,8.97,13.2,6,,,,,3.40,0.000
"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta",ATP5B,P06576;F8VPV9;H0YH81;F8W079,8.29,15.5,7,,,,,3.79,0.000
"ATP synthase subunit delta, mitochondrial",ATP5D,P30049,6.68,8.3,1,,,,,NaN,0.001
"ATP synthase subunit O, mitochondrial",ATP5O,P48047;H7C086;H7C068;H7C0C1,7.17,15.5,2,,,,,3.23,0.000
"ATP synthase-coupling factor 6, mitochondrial",ATP5J,P18859;A8MUH2,6.34,18.5,1,,,,,NaN,0.000
"ATPase inhibitor, mitochondrial",ATPIF1,Q9UII2,6.40,9.4,1,,,,,NaN,0.007
ATP-binding cassette sub-family D member 3,ABCD3,P28288;F5GYC1;E7EUE1;P28288-3;P28288-2,7.56,2.1,1,,,,,NaN,0.000
ATP-citrate synthase,ACLY,P53396;E7ENH9;P53396-2;B4E3P0,7.73,2.6,3,,,,,3.04,0.000
ATP-dependent RNA helicase A,DHX9,Q08211,7.80,2.4,3,,,,,NaN,0.000
ATP-dependent RNA helicase DDX19A;ATP-dependent RNA helicase DDX19B,DDX19A;DDX19B,Q9NUU7;Q9UMR2;H3BTB3;H3BMQ5;H3BN59;H3BQK0,7.37,4.0,1,,,,,NaN,0.000
ATP-dependent RNA helicase DDX39A;Spliceosome RNA helicase DDX39B,DDX39A;DDX39B;DDX39;hCG_2005638,O00148;Q13838;F6WLT2;F8VZL8;Q5STU3;F8VQ10;Q8N5M0;Q13838-2;F6QWI5;F6U6E2;F6S2B7;F6SXL5;E7EMX2;H0YCC6;H0Y800;F8W0J0;H0Y400;F6V772;F6QYI9;H0Y557;F6R6M7;F6S4E6;F6UN21;F6TRA5;F6UJC5;E9PP12;B1Q2N1;H0Y7X6;H0Y7G4;B4DP52,7.08,2.3,1,,,,,NaN,0.000
ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y,DDX3X;DDX3Y,O00571;O15523;O00571-2;B4DXX7;C9J8G5;C9J081;B4E3C4;B4E132;B4DLU5,6.75,1.8,1,,,,,NaN,0.002
Attractin,ATRN,O75882;H7BXY8;O75882-3;O75882-2,9.44,10.9,16,,,,,5.82,0.000
"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed",BANF1,O75531,7.44,15.7,1,,,,,NaN,0.000
Basement membrane-specific heparan sulfate proteoglycan core protein;Endorepellin;LG3 peptide,HSPG2,P98160,7.30,0.4,2,,,,,5.08,0.000
Basigin,BSG,P35613;I3L1R4;I3L4S8;I3NI00;P35613-3;P35613-4;P35613-2;I3L4L2;I3L192,6.70,2.3,1,,,,,NaN,0.000
"Beta-1,4-galactosyltransferase 1;Lactose synthase A protein;N-acetyllactosamine synthase;Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase;Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase;Processed beta-1,4-galactosyltransferase 1",B4GALT1,P15291;F5H0P7;P15291-2;B4DMM8,6.65,4.8,2,,,,,NaN,0.001
Beta-2-glycoprotein 1,APOH,P02749,10.26,25.2,8,,,,,7.93,0.000
Beta-2-microglobulin;Beta-2-microglobulin form pI 5.3,B2M,P61769;F5H6I0,NaN,16.8,2,+,+,,,6.49,0.000
Beta-Ala-His dipeptidase,CNDP1,Q96KN2,9.76,35.5,15,,,,,5.36,0.000
Beta-hexosaminidase subunit alpha;Beta-hexosaminidase,HEXA,P06865;H3BS10;H3BP20;H3BU85;H3BTD4,7.92,3.6,2,,,,,NaN,0.000
Beta-hexosaminidase subunit beta;Beta-hexosaminidase subunit beta chain B;Beta-hexosaminidase subunit beta chain A,HEXB,P07686;Q5URX0;H0YA83,6.58,2.0,1,,,,,3.18,0.000
Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase,PAPSS1,O43252,7.08,2.2,1,,,,,NaN,0.000
Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase,EPRS,P07814;F5H7I7;E7EMN0,7.39,3.4,4,,,,,NaN,0.000
Biotinidase,BTD,P43251;F8W1Q3;B4DLJ9;A6NHF2;C9JSN9,9.37,26.2,10,+,+,,,5.69,0.000
Bleomycin hydrolase,BLMH,Q13867;E7EMN3,6.46,1.5,1,,,,,3.52,0.000
Bone morphogenetic protein 1,BMP1,P13497;P13497-4;P13497-5;P13497-2;P13497-6,7.62,2.2,2,,,,,4.23,0.000
BPI fold-containing family B member 1,BPIFB1,Q8TDL5,7.30,2.7,1,,,,,3.52,0.000
Brain acid soluble protein 1,BASP1,P80723;P80723-2,7.84,57.3,8,,,,,3.86,0.000
Breast cancer metastasis-suppressor 1,BRMS1,Q9HCU9;E9PJF5;H0YCF7;G5E9I4,7.83,5.7,1,,,,,NaN,0.003
C4b-binding protein alpha chain,C4BPA,P04003,10.32,20.1,12,,,,,7.04,0.000
C4b-binding protein beta chain,C4BPB,P20851;P20851-2,8.78,15.1,4,,,,,5.72,0.000
Cadherin-1;E-Cad/CTF1;E-Cad/CTF2;E-Cad/CTF3,CDH1,P12830;F5GYI6;H7BXH4;Q9UII8;H3BNC6,8.09,5.0,4,,,,,4.00,0.000
Cadherin-13,CDH13,P55290;F5H6D5;B7Z590,8.38,9.1,6,,,,,5.08,0.000
Cadherin-2,CDH2,P19022;A8MWK3,6.66,1.8,1,,,,,4.86,0.000
Cadherin-5,CDH5,P33151;I3L1J2;E7EPJ8;F5H6D9,9.32,24.7,15,,,,,4.85,0.000
Cadherin-6,CDH6,P55285;D6RF86;P55285-2,7.56,8.2,5,,,,,NaN,0.000
Cadherin-related family member 5,CDHR5,Q9HBB8;C9J4E6;Q9HBB8-2;Q9HBB8-4,7.07,3.3,2,,,,,3.64,0.000
Calcium-independent phospholipase A2-gamma,PNPLA8,Q9NP80;C9JN30;C9JZI4;Q9NP80-2,8.88,1.3,1,,,,,NaN,0.005
Calcium-regulated heat stable protein 1,CARHSP1,Q9Y2V2,6.30,10.9,1,,,,,4.32,0.008
Calcyclin-binding protein,CACYBP,Q9HB71;Q5R370;B3KSF1,7.48,17.5,3,,,,,NaN,0.000
Caldesmon,CALD1,Q05682;Q05682-3;Q05682-6;Q05682-2;Q05682-4;E7EUR9;C9J813;E9PGZ1;F5H1Z9;E7EX44;Q05682-5,7.00,1.8,1,,,,,4.00,0.001
Calmodulin-like protein 3,CALML3,P27482,7.31,4.7,1,,,,,NaN,0.000
Calmodulin-like protein 5,CALML5,Q9NZT1,7.53,15.1,2,,,,,3.91,0.000
Calnexin,CANX,P27824;B4E2T8;H0Y9Q7;D6RFL1;H0Y9H1;F5H856;D6RGY2;E7ETH2,7.90,10.5,5,,,,,NaN,0.000
Calreticulin,CALR,P27797,7.77,9.1,4,,,,,5.00,0.000
Calsyntenin-1;Soluble Alc-alpha;CTF1-alpha,CLSTN1,O94985;B4E3Q1;O94985-2;Q5SR54,7.37,2.0,2,,,,,3.90,0.000
