Majority Protein IDs,Abundance Rank,Sample,Protein Names,LFQ Intensity [log10],Overlap,Abundance Level,Leading razor protein
Q14624,20.0,ND,Inter-alpha-trypsin inhibitor heavy chain H4;70 kDa inter-alpha-trypsin inhibitor heavy chain H4;35 kDa inter-alpha-trypsin inhibitor heavy chain H4,11.12,Both,Low,Q14624
,,ND,,,Sample Only,,Q96IU2
,,ND,,,Sample Only,,Q9Y6B6
,,ND,,,Sample Only,,O75962
,,ND,,,Sample Only,,P49765
,,ND,,,Sample Only,,O95817
,,ND,,,Sample Only,,Q9NU19
,,ND,,,Sample Only,,Q494V2
,,ND,,,Sample Only,,Q9Y219
P01871,47.0,ND,Ig mu chain C region;Ig mu heavy chain disease protein,10.53,Both,Low,P01871
,,ND,,,Sample Only,,Q96SC8
,,ND,,,Sample Only,,P42704
,,ND,,,Sample Only,,Q86XN8
,,ND,,,Sample Only,,Q9P244
,,ND,,,Sample Only,,Q99618
P01876,19.0,ND,Ig alpha-1 chain C region,11.14,Both,Low,P01876
,,ND,,,Sample Only,,Q9Y4K4
,,ND,,,Sample Only,,Q96AJ1
,,ND,,,Sample Only,,P18825
P01042,32.0,ND,Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor,10.77,Both,Low,P01042
,,ND,,,Sample Only,,P13645
,,ND,,,Sample Only,,Q9BTZ2
P00734,48.0,ND,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain,10.49,Both,Low,P00734
,,ND,,,Sample Only,,O14638
,,ND,,,Sample Only,,A6NCL1
,,ND,,,Sample Only,,Q5JSL3
,,ND,,,Sample Only,,REV__Q86Y38
,,ND,,,Sample Only,,CON__P01966
,,ND,,,Sample Only,,Q9NS87
Q16822,688.0,ND,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial;Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",7.2,Both,Deep,Q16822
P69905,72.0,ND,Hemoglobin subunit alpha,10.21,Both,Low,P69905
P02042,278.0,ND,Hemoglobin subunit delta,8.53,Both,Mid,P02042
P35590,1033.0,ND,Tyrosine-protein kinase receptor Tie-1,,Both,Ultra Deep,P35590
P01859,16.0,ND,Ig gamma-2 chain C region,11.15,Both,Low,P01859
P10909,31.0,ND,Clusterin;Clusterin beta chain;Clusterin alpha chain;Clusterin,10.8,Both,Low,P10909
,,ND,,,Sample Only,,Q9P2J5
,,ND,,,Sample Only,,CON__ENSEMBL:ENSBTAP00000024466
,,ND,,,Sample Only,,Q96N67
P02763,27.0,ND,Alpha-1-acid glycoprotein 1,10.99,Both,Low,P02763
,,ND,,,Sample Only,,Q5T953
,,ND,,,Sample Only,,Q8NEL9
CON__P02768-1,0.0,,Serum albumin,12.38,Geyer Only,Low,
E7ESU5,0.0,,Serum albumin,12.38,Geyer Only,Low,
B7WNR0,0.0,,Serum albumin,12.38,Geyer Only,Low,
H0YA55,0.0,,Serum albumin,12.38,Geyer Only,Low,
D6RHD5,0.0,,Serum albumin,12.38,Geyer Only,Low,
Q8IUK7,0.0,,Serum albumin,12.38,Geyer Only,Low,
C9JKR2,0.0,,Serum albumin,12.38,Geyer Only,Low,
P02768-2,0.0,,Serum albumin,12.38,Geyer Only,Low,
F8W696,1.0,,Apolipoprotein A-I;Proapolipoprotein A-I;Truncated apolipoprotein A-I,11.98,Geyer Only,Low,
H0YGH4,2.0,,Alpha-2-macroglobulin,11.92,Geyer Only,Low,
F5H109,3.0,,Apolipoprotein B-100;Apolipoprotein B-48,11.83,Geyer Only,Low,
B4E216,4.0,,Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2,11.81,Geyer Only,Low,
P01009-2,5.0,,Alpha-1-antitrypsin;Short peptide from AAT,11.79,Geyer Only,Low,
P01009-3,5.0,,Alpha-1-antitrypsin;Short peptide from AAT,11.79,Geyer Only,Low,
A2BHY4,9.0,,Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain,11.48,Geyer Only,Low,
F8VX64,9.0,,Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain,11.48,Geyer Only,Low,
Q6U2E9,9.0,,Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain,11.48,Geyer Only,Low,
F5GXS0,9.0,,Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain,11.48,Geyer Only,Low,
B4E1D3,10.0,,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain,11.42,Geyer Only,Low,
D6REL8,10.0,,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain,11.42,Geyer Only,Low,
P02679-2,11.0,,Fibrinogen gamma chain,11.36,Geyer Only,Low,
C9JC84,11.0,,Fibrinogen gamma chain,11.36,Geyer Only,Low,
C9JEU5,11.0,,Fibrinogen gamma chain,11.36,Geyer Only,Low,
E9PFZ2,13.0,,Ceruloplasmin,11.2,Geyer Only,Low,
H7C5R1,13.0,,Ceruloplasmin,11.2,Geyer Only,Low,
P06727,14.0,,Apolipoprotein A-IV,11.19,Geyer Only,Low,
P0CG05,15.0,,Ig lambda-2 chain C regions;Ig lambda-3 chain C regions,11.18,Geyer Only,Low,
P0CG06,15.0,,Ig lambda-2 chain C regions;Ig lambda-3 chain C regions,11.18,Geyer Only,Low,
E7EW61,17.0,,Transthyretin,11.14,Geyer Only,Low,
F5H868,17.0,,Transthyretin,11.14,Geyer Only,Low,
Q0VAC5,18.0,,Haptoglobin;Haptoglobin alpha chain;Haptoglobin beta chain,11.14,Geyer Only,Low,
I3L0D3,18.0,,Haptoglobin;Haptoglobin alpha chain;Haptoglobin beta chain,11.14,Geyer Only,Low,
H3BS21,18.0,,Haptoglobin;Haptoglobin alpha chain;Haptoglobin beta chain,11.14,Geyer Only,Low,
G3V5I3,21.0,,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less,11.11,Geyer Only,Low,
G3V595,21.0,,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less,11.11,Geyer Only,Low,
P02790,24.0,,Hemopexin,11.02,Geyer Only,Low,
Q9BS19,24.0,,Hemopexin,11.02,Geyer Only,Low,
Q5T985,25.0,,Inter-alpha-trypsin inhibitor heavy chain H2,11.0,Geyer Only,Low,
P01861,26.0,,Ig gamma-4 chain C region,10.99,Geyer Only,Low,
P06396,28.0,,Gelsolin,10.85,Geyer Only,Low,
F5H1A8,28.0,,Gelsolin,10.85,Geyer Only,Low,
P06396-3,28.0,,Gelsolin,10.85,Geyer Only,Low,
CON__Q3SX14,28.0,,Gelsolin,10.85,Geyer Only,Low,
B4E1Z4,29.0,,Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment,10.81,Geyer Only,Low,
E7EVA3,29.0,,Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment,10.81,Geyer Only,Low,
P00751,29.0,,Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment,10.81,Geyer Only,Low,
P02751,30.0,,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,10.8,Geyer Only,Low,
P02751-8,30.0,,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,10.8,Geyer Only,Low,
P02751-3,30.0,,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,10.8,Geyer Only,Low,
P02751-15,30.0,,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,10.8,Geyer Only,Low,
P02751-14,30.0,,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,10.8,Geyer Only,Low,
P02751-7,30.0,,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,10.8,Geyer Only,Low,
E9PE77,30.0,,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,10.8,Geyer Only,Low,
E7ERA1,30.0,,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,10.8,Geyer Only,Low,
P02751-9,30.0,,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,10.8,Geyer Only,Low,
P02751-11,30.0,,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,10.8,Geyer Only,Low,
P02751-5,30.0,,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,10.8,Geyer Only,Low,
P02751-10,30.0,,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,10.8,Geyer Only,Low,
P02751-6,30.0,,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,10.8,Geyer Only,Low,
F8W7G7,30.0,,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,10.8,Geyer Only,Low,
P02751-13,30.0,,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,10.8,Geyer Only,Low,
P02751-4,30.0,,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,10.8,Geyer Only,Low,
P02751-12,30.0,,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,10.8,Geyer Only,Low,
H0Y7Z1,30.0,,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,10.8,Geyer Only,Low,
P10909-4,31.0,,Clusterin;Clusterin beta chain;Clusterin alpha chain;Clusterin,10.8,Geyer Only,Low,
P10909-5,31.0,,Clusterin;Clusterin beta chain;Clusterin alpha chain;Clusterin,10.8,Geyer Only,Low,
P10909-2,31.0,,Clusterin;Clusterin beta chain;Clusterin alpha chain;Clusterin,10.8,Geyer Only,Low,
E7ETA7,31.0,,Clusterin;Clusterin beta chain;Clusterin alpha chain;Clusterin,10.8,Geyer Only,Low,
P10909-3,31.0,,Clusterin;Clusterin beta chain;Clusterin alpha chain;Clusterin,10.8,Geyer Only,Low,
H0YC35,31.0,,Clusterin;Clusterin beta chain;Clusterin alpha chain;Clusterin,10.8,Geyer Only,Low,
H0YLK8,31.0,,Clusterin;Clusterin beta chain;Clusterin alpha chain;Clusterin,10.8,Geyer Only,Low,
P19827,33.0,,Inter-alpha-trypsin inhibitor heavy chain H1,10.76,Geyer Only,Low,
B7Z549,33.0,,Inter-alpha-trypsin inhibitor heavy chain H1,10.76,Geyer Only,Low,
F5H7E1,33.0,,Inter-alpha-trypsin inhibitor heavy chain H1,10.76,Geyer Only,Low,
F5H165,33.0,,Inter-alpha-trypsin inhibitor heavy chain H1,10.76,Geyer Only,Low,
F5H7Y8,33.0,,Inter-alpha-trypsin inhibitor heavy chain H1,10.76,Geyer Only,Low,
P05155,34.0,,Plasma protease C1 inhibitor,10.73,Geyer Only,Low,
B4E1F0,34.0,,Plasma protease C1 inhibitor,10.73,Geyer Only,Low,
B4E1H2,34.0,,Plasma protease C1 inhibitor,10.73,Geyer Only,Low,
H9KV48,34.0,,Plasma protease C1 inhibitor,10.73,Geyer Only,Low,
E9PGN7,34.0,,Plasma protease C1 inhibitor,10.73,Geyer Only,Low,
P27169,35.0,,Serum paraoxonase/arylesterase 1,10.7,Geyer Only,Low,
F5H4W9,35.0,,Serum paraoxonase/arylesterase 1,10.7,Geyer Only,Low,
P08697-2,36.0,,Alpha-2-antiplasmin,10.69,Geyer Only,Low,
C9JMH6,36.0,,Alpha-2-antiplasmin,10.69,Geyer Only,Low,
P04217,37.0,,Alpha-1B-glycoprotein,10.68,Geyer Only,Low,
P01031,38.0,,Complement C5;Complement C5 beta chain;Complement C5 alpha chain;C5a anaphylatoxin;Complement C5 alpha chain,10.64,Geyer Only,Low,
H0Y4U2,38.0,,Complement C5;Complement C5 beta chain;Complement C5 alpha chain;C5a anaphylatoxin;Complement C5 alpha chain,10.64,Geyer Only,Low,
P06309,39.0,,Ig kappa chain V-II region GM607;Ig kappa chain V-II region TEW,10.62,Geyer Only,Low,
P01617,39.0,,Ig kappa chain V-II region GM607;Ig kappa chain V-II region TEW,10.62,Geyer Only,Low,
H0Y7L5,41.0,,Apolipoprotein E,10.61,Geyer Only,Low,
E9PEV4,41.0,,Apolipoprotein E,10.61,Geyer Only,Low,
E7ERP7,41.0,,Apolipoprotein E,10.61,Geyer Only,Low,
P01620,42.0,,Ig kappa chain V-III region SIE,10.6,Geyer Only,Low,
D6RF35,43.0,,Vitamin D-binding protein,10.58,Geyer Only,Low,
D6RAK8,43.0,,Vitamin D-binding protein,10.58,Geyer Only,Low,
D6RBJ7,43.0,,Vitamin D-binding protein,10.58,Geyer Only,Low,
P68871,44.0,,Hemoglobin subunit beta;LVV-hemorphin-7;Spinorphin,10.58,Geyer Only,Low,
F8W6P5,44.0,,Hemoglobin subunit beta;LVV-hemorphin-7;Spinorphin,10.58,Geyer Only,Low,
P00747,45.0,,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B",10.57,Geyer Only,Low,
B9A064,46.0,,Immunoglobulin lambda-like polypeptide 5;Ig lambda-1 chain C regions,10.54,Geyer Only,Low,
P0CG04,46.0,,Immunoglobulin lambda-like polypeptide 5;Ig lambda-1 chain C regions,10.54,Geyer Only,Low,
P01871-2,47.0,,Ig mu chain C region;Ig mu heavy chain disease protein,10.53,Geyer Only,Low,
P04220,47.0,,Ig mu chain C region;Ig mu heavy chain disease protein,10.53,Geyer Only,Low,
E9PIT3,48.0,,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain,10.49,Geyer Only,Low,
A6NG18,49.0,,,10.49,Geyer Only,Low,
C9JF17,50.0,,Apolipoprotein D,10.48,Geyer Only,Low,
P05090,50.0,,Apolipoprotein D,10.48,Geyer Only,Low,
C9JX71,50.0,,Apolipoprotein D,10.48,Geyer Only,Low,
P01766,51.0,,Ig heavy chain V-III region BRO,10.48,Geyer Only,Low,
P04196,52.0,,Histidine-rich glycoprotein,10.46,Geyer Only,Low,
P08603,53.0,,Complement factor H,10.46,Geyer Only,Low,
P08603-2,53.0,,Complement factor H,10.46,Geyer Only,Low,
P04004,54.0,,Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B,10.45,Geyer Only,Low,
P02655,55.0,,Apolipoprotein C-II,10.42,Geyer Only,Low,
P25311,57.0,,Zinc-alpha-2-glycoprotein,10.4,Geyer Only,Low,
C9JEV0,57.0,,Zinc-alpha-2-glycoprotein,10.4,Geyer Only,Low,
P05546,58.0,,Heparin cofactor 2,10.39,Geyer Only,Low,
P02765,59.0,,Alpha-2-HS-glycoprotein;Alpha-2-HS-glycoprotein chain A;Alpha-2-HS-glycoprotein chain B,10.34,Geyer Only,Low,
F5H0Q5,59.0,,Alpha-2-HS-glycoprotein;Alpha-2-HS-glycoprotein chain A;Alpha-2-HS-glycoprotein chain B,10.34,Geyer Only,Low,
C9JV77,59.0,,Alpha-2-HS-glycoprotein;Alpha-2-HS-glycoprotein chain A;Alpha-2-HS-glycoprotein chain B,10.34,Geyer Only,Low,
P04003,60.0,,C4b-binding protein alpha chain,10.32,Geyer Only,Low,
P02654,61.0,,Apolipoprotein C-I;Truncated apolipoprotein C-I,10.31,Geyer Only,Low,
P01019,62.0,,Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4,10.3,Geyer Only,Low,
E7EUC5,62.0,,Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4,10.3,Geyer Only,Low,
P03952,63.0,,Plasma kallikrein;Plasma kallikrein heavy chain;Plasma kallikrein light chain,10.28,Geyer Only,Low,
H0YAC1,63.0,,Plasma kallikrein;Plasma kallikrein heavy chain;Plasma kallikrein light chain,10.28,Geyer Only,Low,
E7EQA8,63.0,,Plasma kallikrein;Plasma kallikrein heavy chain;Plasma kallikrein light chain,10.28,Geyer Only,Low,
E9PBC5,63.0,,Plasma kallikrein;Plasma kallikrein heavy chain;Plasma kallikrein light chain,10.28,Geyer Only,Low,
P43652,64.0,,Afamin,10.28,Geyer Only,Low,
P02749,65.0,,Beta-2-glycoprotein 1,10.26,Geyer Only,Low,
P08185,66.0,,Corticosteroid-binding globulin,10.24,Geyer Only,Low,
P36955,67.0,,Pigment epithelium-derived factor,10.23,Geyer Only,Low,
I3L3M1,67.0,,Pigment epithelium-derived factor,10.23,Geyer Only,Low,
O14791-2,68.0,,Apolipoprotein L1,10.23,Geyer Only,Low,
E9PF24,68.0,,Apolipoprotein L1,10.23,Geyer Only,Low,
G8JL88,68.0,,Apolipoprotein L1,10.23,Geyer Only,Low,
P35858,69.0,,Insulin-like growth factor-binding protein complex acid labile subunit,10.23,Geyer Only,Low,
E9PGU3,69.0,,Insulin-like growth factor-binding protein complex acid labile subunit,10.23,Geyer Only,Low,
P02748,70.0,,Complement component C9;Complement component C9a;Complement component C9b,10.23,Geyer Only,Low,
P13671,71.0,,Complement component C6,10.22,Geyer Only,Low,
G3V1N2,72.0,,Hemoglobin subunit alpha,10.21,Geyer Only,Low,
P29622,73.0,,Kallistatin,10.2,Geyer Only,Low,
P19652,74.0,,Alpha-1-acid glycoprotein 2,10.17,Geyer Only,Low,
P00736,75.0,,Complement C1r subcomponent;Complement C1r subcomponent heavy chain;Complement C1r subcomponent light chain,10.16,Geyer Only,Low,
P01610,76.0,,Ig kappa chain V-I region WEA;Ig kappa chain V-I region Gal,10.16,Geyer Only,Low,
P01599,76.0,,Ig kappa chain V-I region WEA;Ig kappa chain V-I region Gal,10.16,Geyer Only,Low,
P01625,77.0,,Ig kappa chain V-IV region Len,10.16,Geyer Only,Low,
P12259,78.0,,Coagulation factor V;Coagulation factor V heavy chain;Coagulation factor V light chain,10.12,Geyer Only,Low,
P10643,79.0,,Complement component C7,10.12,Geyer Only,Low,
E7EPA5,79.0,,Complement component C7,10.12,Geyer Only,Low,
B4DPP8,80.0,,Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor,10.11,Geyer Only,Low,
P01042-2,80.0,,Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor,10.11,Geyer Only,Low,
C9JEX1,80.0,,Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor,10.11,Geyer Only,Low,
P01714,81.0,,Ig lambda chain V-III region SH,10.1,Geyer Only,Low,
P05156,82.0,,Complement factor I;Complement factor I heavy chain;Complement factor I light chain,10.1,Geyer Only,Low,
G3XAM2,82.0,,Complement factor I;Complement factor I heavy chain;Complement factor I light chain,10.1,Geyer Only,Low,
E7ETH0,82.0,,Complement factor I;Complement factor I heavy chain;Complement factor I light chain,10.1,Geyer Only,Low,
P02750,83.0,,Leucine-rich alpha-2-glycoprotein,10.09,Geyer Only,Low,
B4E1I8,83.0,,Leucine-rich alpha-2-glycoprotein,10.09,Geyer Only,Low,
P51884,84.0,,Lumican,10.06,Geyer Only,Low,
B0V2C8,85.0,,Complement C4-A;Complement C4 beta chain;Complement C4-A alpha chain;C4a anaphylatoxin;C4b-A;C4d-A;Complement C4 gamma chain,10.02,Geyer Only,Low,
B0UZ83,85.0,,Complement C4-A;Complement C4 beta chain;Complement C4-A alpha chain;C4a anaphylatoxin;C4b-A;C4d-A;Complement C4 gamma chain,10.02,Geyer Only,Low,
F8VZD8,85.0,,Complement C4-A;Complement C4 beta chain;Complement C4-A alpha chain;C4a anaphylatoxin;C4b-A;C4d-A;Complement C4 gamma chain,10.02,Geyer Only,Low,
F8VW91,85.0,,Complement C4-A;Complement C4 beta chain;Complement C4-A alpha chain;C4a anaphylatoxin;C4b-A;C4d-A;Complement C4 gamma chain,10.02,Geyer Only,Low,
P05543,86.0,,Thyroxine-binding globulin,10.0,Geyer Only,Low,
P01598,87.0,,Ig kappa chain V-I region EU,10.0,Geyer Only,Low,
P01860,88.0,,Ig gamma-3 chain C region,9.99,Geyer Only,Low,
P68371,89.0,,Tubulin beta-4B chain;Tubulin beta-4A chain,9.97,Geyer Only,Low,
P04350,89.0,,Tubulin beta-4B chain;Tubulin beta-4A chain,9.97,Geyer Only,Low,
B4DJ43,89.0,,Tubulin beta-4B chain;Tubulin beta-4A chain,9.97,Geyer Only,Low,
P01613,90.0,,Ig kappa chain V-I region Ni,9.94,Geyer Only,Low,
P04433,91.0,,Ig kappa chain V-III region VG,9.93,Geyer Only,Low,
O95445,92.0,,Apolipoprotein M,9.9,Geyer Only,Low,
Q06033,93.0,,Inter-alpha-trypsin inhibitor heavy chain H3,9.86,Geyer Only,Low,
C9JX84,93.0,,Inter-alpha-trypsin inhibitor heavy chain H3,9.86,Geyer Only,Low,
Q06033-2,93.0,,Inter-alpha-trypsin inhibitor heavy chain H3,9.86,Geyer Only,Low,
A8MXF4,93.0,,Inter-alpha-trypsin inhibitor heavy chain H3,9.86,Geyer Only,Low,
F5H6B4,93.0,,Inter-alpha-trypsin inhibitor heavy chain H3,9.86,Geyer Only,Low,
E7ET33,93.0,,Inter-alpha-trypsin inhibitor heavy chain H3,9.86,Geyer Only,Low,
P80108,94.0,,Phosphatidylinositol-glycan-specific phospholipase D,9.85,Geyer Only,Low,
P01765,95.0,,Ig heavy chain V-III region TIL,9.85,Geyer Only,Low,
P80748,96.0,,Ig lambda chain V-III region LOI,9.84,Geyer Only,Low,
P07358,97.0,,Complement component C8 beta chain,9.83,Geyer Only,Low,
F5GY80,97.0,,Complement component C8 beta chain,9.83,Geyer Only,Low,
F5H7G1,97.0,,Complement component C8 beta chain,9.83,Geyer Only,Low,
